feature,importance
tfidf_home,0.00444793292746142
tfidf_covid 19 live,0.004436143312651151
tfidf_19 live,0.004436143312651151
tfidf_donald trump coronavirus,0.004413939194617236
tfidf_updates br,0.004385613069740131
tfidf_oct,0.004297288356793909
tfidf_2020 oct,0.004297288356793909
tfidf_latest news,0.004271652373414846
tfidf_latest updates li,0.004178831316107943
tfidf_coronavirus latest,0.004171502521776948
tfidf_live 2020 aug,0.004161056982182087
tfidf_mail,0.00414947899062281
tfidf_orders,0.004106492148216353
tfidf_li li,0.004087344300633183
tfidf_world live 2020,0.004073152312907939
tfidf_com world live,0.004067948572950263
tfidf_world live,0.004067948572950263
tfidf_05,0.004040592646153566
tfidf_government,0.003989224658699971
tfidf_2020 mar,0.003975999971757651
tfidf_mar,0.003975999971757651
tfidf_donald,0.003919930906054348
tfidf_08,0.0038994923360934877
tfidf_donald trump,0.0038955757490764624
tfidf_crisis,0.003885670438182716
tfidf_global,0.0038041426157543567
tfidf_week,0.0037695110029761876
tfidf_live 2020 apr,0.003745801843957649
tfidf_blog,0.003737768109209299
tfidf_plans,0.003602314592811147
tfidf_trump says,0.0035993720185099414
tfidf_12,0.0035737064964042786
tfidf_latest coronavirus latest,0.00353730173103268
tfidf_updates coronavirus,0.003517873957552157
tfidf_18,0.0035001818280360813
tfidf_latest global updates,0.0034796731163424547
tfidf_surge,0.0033584377287306823
tfidf_harris,0.0033516800277494816
tfidf_highest,0.003350399521760477
tfidf_lockdown,0.003337041463637087
tfidf_administration,0.0033128127138129554
tfidf_say,0.0033109300595222284
tfidf_joe biden donald,0.003266524369215989
tfidf_biden donald,0.003266524369215989
tfidf_biden donald trump,0.003266524369215989
tfidf_daily,0.0032242572438468077
tfidf_2021,0.0031815375530887422
tfidf_trump coronavirus covid,0.003157581413403707
tfidf_experts,0.0031429021841099906
tfidf_live news updates,0.003140479199281144
tfidf_kamala,0.0031052061616178603
tfidf_kamala harris,0.0031052061616178603
tfidf_record,0.0030921225401178113
tfidf_response,0.003091179558186394
tfidf_14,0.0030476026689970057
tfidf_china,0.003006951951224925
tfidf_newsletter br,0.003001438247589341
tfidf_coronavirus live news,0.002932453973113049
tfidf_11,0.002916943381614757
tfidf_business,0.002844755927089902
tfidf_democrats,0.0028369780386287647
tfidf_people,0.0028260221148934577
tfidf_live 2020 oct,0.002817143393276839
tfidf_election 2020,0.002789244805159366
tfidf_testing,0.002747628174058005
tfidf_rally,0.002739960389888868
tfidf_australia news,0.0026952198165022924
tfidf_live 2020 sep,0.0026633314865091907
tfidf_2020 dec,0.0026522649178415594
tfidf_dec,0.0026522649178415594
tfidf_com australia news,0.0026279017973114497
tfidf_theguardian com australia,0.0026279017973114497
tfidf_com australia,0.0026279017973114497
tfidf_news 2020 oct,0.0026126839660919996
tfidf_despite,0.002599218931827942
tfidf_death,0.002597374629170358
tfidf_news updates page,0.002573584977528935
tfidf_14 coronavirus,0.0025107613496744233
tfidf_global coronavirus,0.0025052825511607023
tfidf_follow,0.0025028959800174086
tfidf_debate,0.002490491346310536
tfidf_live 2020 mar,0.002468100318235184
tfidf_secretary,0.002448600780854404
tfidf_court,0.0024319534947943194
tfidf_updates li ul,0.0024010095705777586
tfidf_test,0.002375868428482963
tfidf_mike,0.0023641944337591623
tfidf_15,0.0023623069954312407
tfidf_live page block,0.0023445464847970166
tfidf_live page,0.0023445464847970166
tfidf_27,0.0023258601181613712
tfidf_brazil,0.002310313305469242
tfidf_travel,0.0023071415334149554
tfidf_republicans,0.0022969468779291966
tfidf_hosts,0.002273320370636841
tfidf_pence,0.0022536733581851455
tfidf_victoria,0.002231498080681548
tfidf_numbers,0.002230199925829195
tfidf_20,0.0022116984953846805
tfidf_theguardian com business,0.0022046207232282035
tfidf_com business,0.0022046207232282035
tfidf_2020 jul,0.002185119882691424
tfidf_jul,0.002185119882691424
tfidf_live 2020 dec,0.0021731935559033714
tfidf_italy,0.0021543291730512096
tfidf_mike pence,0.0021492456299890056
tfidf_07,0.0021469455715803338
tfidf_leaders,0.002132574038861876
tfidf_supreme court,0.0021323499933389146
tfidf_protests,0.0021275735118223265
tfidf_supreme,0.002117992046882426
tfidf_follow latest,0.0021119791422669976
tfidf_states,0.002100028221426256
tfidf_nsw,0.0020908941784180696
tfidf_johnson,0.0020846854958099558
