feature,importance
tfidf_guardian morning,0.01217709746884265
tfidf_guardian morning briefing,0.01217709746884265
tfidf_info 2018 sep,0.01217709746884265
tfidf_info 2018,0.01217709746884265
tfidf_sign stay informed,0.01217709746884265
tfidf_informed,0.01216998124900919
tfidf_info,0.012162489055878653
tfidf_newsletter li ul,0.01215257604791039
tfidf_series,0.012109244516333176
tfidf_17,0.012070176539507635
tfidf_morning,0.012069487647136383
tfidf_global updates li,0.012019252530974984
tfidf_newsletter li,0.012010726085128858
tfidf_2018,0.011967420327686707
tfidf_li href,0.011877479910316322
tfidf_li href https,0.011872710418128356
tfidf_news 2020,0.011855725416235304
tfidf_ul,0.011761360812242347
tfidf_21,0.011451642218445178
tfidf_cuomo,0.011347230862275813
tfidf_theguardian com world,0.0111011741574377
tfidf_com world,0.0111011741574377
tfidf_live updates,0.011054347500865369
tfidf_live,0.010910886442057802
tfidf_24,0.010793397887710996
tfidf_com news live,0.010738313877312155
tfidf_aug,0.010670458221588242
tfidf_2020 aug,0.010670458221588242
tfidf_latest coronavirus latest,0.01064156023970013
tfidf_news live 2020,0.010532868080097216
tfidf_convention,0.01048244879054001
tfidf_news live,0.010482016433383822
tfidf_plus,0.010364402828630988
tfidf_latest news,0.01032355921827209
tfidf_world coronavirus,0.01023793856830289
tfidf_report,0.010227783426476884
tfidf_com world coronavirus,0.010212451492514572
tfidf_world coronavirus outbreak,0.010212141262355074
tfidf_outbreak,0.010186918859687286
tfidf_coronavirus coverage,0.010168755983511489
tfidf_week,0.010126578045434658
tfidf_record,0.010064875176360262
tfidf_global updates,0.0100184832081692
tfidf_live latest coronavirus,0.00997532482427621
tfidf_updates,0.00984981362636491
tfidf_latest coronavirus,0.009797263012570029
tfidf_coronavirus outbreak,0.009792858003889501
tfidf_theguardian com news,0.00974268186151615
tfidf_com news,0.00974268186151615
tfidf_covid,0.00973883591759523
tfidf_com world series,0.009616792427837875
tfidf_world series coronavirus,0.009591122550706332
tfidf_series coronavirus,0.009591122550706332
tfidf_world series,0.009591122550706332
tfidf_series coronavirus live,0.009591122550706332
